words|counts
cosin|3
sonne|20
ham|337
little|13
kin|15
lesse|7
kinde|11
clouds|3
still|18
hang|4
sun|3
queen|8
colour|4
friend|12
veyled|1
lids|1
seeke|8
noble|16
dust|7
common|8
liues|3
dye|5
passing|3
eternity|1
madam|12
seemes|8
alone|10
inky|1
cloake|1
mother|40
customary|1
suites|2
solemne|2
blacke|8
windy|1
suspiration|1
forc|2
breath|13
fruitfull|1
riuer|1
deiected|1
hauiour|1
visage|5
formes|3
moods|1
shewes|7
griefe|2
denote|1
truly|5
indeed|27
seeme|9
actions|1
man|46
play|43
within|20
passeth|1
show|4
trappings|1
sweet|22
commendable|1
mourning|1
duties|1
suruiuer|1
bound|5
filiall|1
obligation|2
terme|2
obsequious|1
perseuer|1
obstinate|1
condolement|1
impious|1
stubbornnesse|1
vnmanly|1
incorrect|1
vnfortified|1
minde|10
impatient|1
vnderstanding|3
simple|1
vnschool|1
vulgar|2
sence|3
peeuish|1
opposition|2
fye|2
fault|4
absurd|2
theame|2
cried|2
first|17
coarse|3
till|19
dyed|3
throw|4
vnpreuayling|1
note|6
immediate|1
nobility|1
loue|66
deerest|1
beares|3
intent|2
going|2
backe|6
schoole|1
wittenberg|3
retrograde|1
desire|7
remaine|1
cheere|2
comfort|1
cheefest|1
courtier|3
qu|62
lose|4
prayers|1
prythee|5
obey|7
louing|3
reply|2
gentle|4
vnforc|1
accord|1
sits|4
smiling|3
whereof|2
iocond|1
health|5
drinkes|2
great|19
clowds|1
kings|8
rouce|1
heauens|10
bruite|2
respeaking|1
earthly|1
thunder|2
manet|3
solid|1
flesh|5
melt|2
thaw|1
resolue|1
euerlasting|1
fixt|3
slaughter|2
weary|2
stale|1
flat|3
vnprofitable|1
vses|3
fie|5
vnweeded|1
garden|2
growes|4
seed|1
rank|1
possesse|1
meerely|2
months|1
excellent|11
hiperion|1
satyre|1
beteene|1
windes|2
visit|4
face|10
roughly|2
remember|12
encrease|1
appetite|1
growne|4
fed|1
month|2
frailty|1
name|10
woman|7
ere|15
shooes|2
followed|2
poore|20
body|16
niobe|1
teares|8
beast|5
wants|2
discourse|5
mourn|1
longer|5
married|3
vnkle|4
hercules|3
moneth|2
salt|3
vnrighteous|1
left|4
flushing|1
gauled|1
wicked|5
speed|4
dexterity|1
incestuous|4
sheets|1
tongue|14
haile|1
lordship|6
glad|4
forget|4
seruant|1
change|3
faith|12
wittemberge|1
truant|2
disposition|5
enemy|2
doe|51
eare|17
truster|1
report|5
elsenour|1
wee|20
l|24
teach|5
drinke|14
deepe|3
depart|1
mock|3
fellow|9
student|1
mothers|6
wedding|1
hard|3
thrift|4
bakt|1
meats|1
coldly|2
furnish|1
forth|5
tables|3
met|1
dearest|1
foe|2
thinkes|5
minds|2
saw|14
goodly|3
yesternight|1
admiration|3
attent|1
deliuer|5
witnesse|1
gentlemen|12
maruell|1
wast|1
middle|2
beene|13
encountred|1
arm|4
points|2
exactly|1
cap|3
pe|1
appeares|3
sollemne|1
slow|2
stately|1
thrice|4
walkt|1
opprest|1
feare|21
surprized|1
truncheons|1
length|4
whilst|3
bestil|1
almost|7
ielly|1
act|9
dreadfull|3
secrecie|2
third|3
kept|4
whereas|1
word|12
knew|5
hands|9
platforme|2
watcht|1
answere|4
none|13
lifted|1
